ID	Description	NES	pvalue	p.adjust
GO:0034765	regulation of ion transmembrane transport	-1.70603726549223	3.39317500800099e-08	0.000130415079061528
GO:0042391	regulation of membrane potential	-1.7629225558612	4.45919229312511e-08	0.000130415079061528
GO:1900449	regulation of glutamate receptor signaling pathway	-2.23095274025651	6.27397750456355e-08	0.000130415079061528
GO:0099003	vesicle-mediated transport in synapse	-1.90260310709201	2.41710204166088e-07	0.000376826208294932
GO:0044786	cell cycle DNA replication	2.18341995342278	1.00856488459619e-06	0.00125788212406837
GO:0033260	nuclear DNA replication	2.16660123809021	2.04701286822535e-06	0.00193868441408031
GO:0099504	synaptic vesicle cycle	-1.82956349557781	2.31510189100981e-06	0.00193868441408031
GO:0044843	cell cycle G1/S phase transition	1.80664054160999	2.4870871251832e-06	0.00193868441408031
GO:0071156	regulation of cell cycle arrest	1.93879762298972	6.81971502093772e-06	0.00453960460565126
GO:0000082	G1/S transition of mitotic cell cycle	1.75640372423439	7.27967383844012e-06	0.00453960460565126
GO:0007215	glutamate receptor signaling pathway	-1.93274042688736	9.35209178671536e-06	0.00523888061471015
GO:0006261	DNA-dependent DNA replication	1.86107009819474	1.00812327415846e-05	0.00523888061471015
GO:0098693	regulation of synaptic vesicle cycle	-1.85949050112063	1.65251570034244e-05	0.00792699069795033
GO:0006260	DNA replication	1.66298368123286	2.09152292240519e-05	0.00931624067437057
GO:0060078	regulation of postsynaptic membrane potential	-1.82780707988099	2.36946177568605e-05	0.00973241606977596
GO:0071805	potassium ion transmembrane transport	-1.6895834288089	2.49709199994252e-05	0.00973241606977596
GO:0006813	potassium ion transport	-1.68941548554664	3.36983815063993e-05	0.0117593398506508
GO:0006836	neurotransmitter transport	-1.64733524587743	3.3942930935169e-05	0.0117593398506508
GO:2000311	regulation of AMPA receptor activity	-2.04083876005681	4.00044671637344e-05	0.013129887222792
GO:0050803	regulation of synapse structure or activity	-1.68719876519555	4.25231583202965e-05	0.0132587207642685
GO:0050804	modulation of chemical synaptic transmission	-1.51805301167438	5.72696385923893e-05	0.0170063555362924
GO:0000727	double-strand break repair via break-induced replication	2.00559653641499	7.45989256729162e-05	0.0211454045680139
GO:0050806	positive regulation of synaptic transmission	-1.667289132476	8.6541354192557e-05	0.0211654470041812
GO:0032409	regulation of transporter activity	-1.58852752726097	8.80100750694606e-05	0.0211654470041812
